"GEOID","crp_expire_2017","crp_expire_2018","crp_expire_2019","crp_expire_2020","crp_expire_2021","crp_expire_total","crp_expire_share"
29171,3119.2,1359.3,969.2,2660.9,1145.3,9253.9,0.0279503470071667
29173,1227.83,930.9,373.8,2389.12,1818.22,6739.87,0.0224163685041185
29175,2239.06,619.24,408.5,3124.39,1602.97,7994.16,0.0258764468474107
29177,6283.37,913.9,646.61,1558.4,2272.8,11675.08,0.0320615282456648
29179,6.9,44.8,NA,9.4,NA,61.1,0.000118084832518253
29181,6.2,NA,47.7,127.47,69.5,250.87,0.000622677046534419
29183,91.6,108.4,NA,93.9,130.1,424,0.00118237629523359
29185,192.1,46.8,19.8,749.9,422.8,1431.4,0.00331352336042604
29186,1435.6,159.7,125.2,244.7,126.3,2091.5,0.00654690254518501
29187,317.3,80.2,NA,NA,NA,397.5,0.00137444922480122
29195,1645.89,797.85,141.93,793.54,446.84,3826.05,0.00791281681155018
29197,1033.5,170.6,188.5,4316.5,1819.1,7528.2,0.038277375968392
29199,5225.28,78.2,58.1,4893.11,5393.62,15648.31,0.0560140227731016
29201,232.1,37.2,791.6,529.9,649.6,2240.4,0.00833470766015077
29205,943.49,147.2,113.3,2164.66,1595.28,4963.93,0.0154855651046778
29207,1599.91,39.5,6.1,815.45,1942.7,4403.66,0.00835909926047302
29211,11296.8,296,178.3,5470.89,3308.9,20550.89,0.0495550965896072
29213,157.7,NA,NA,NA,NA,157.7,0.000389721661464574
29215,250.1,NA,NA,64.6,24.3,339,0.000449930596095962
29217,1692.32,1963.37,283.5,1917,1943.24,7799.43,0.0147467997037347
29219,398.3,11.5,86.2,155.3,100.3,751.6,0.00274005240901338
29223,16.2,13.1,5.9,89.6,53.5,178.3,0.000366963739345843
29225,9.8,NA,NA,NA,5.5,15.3,4.03438508134607e-05
29227,1238.81,601.15,85.87,2306.12,3740.66,7972.61,0.0467212479396728
29035,NA,4.5,20.5,23.3,4.1,52.4,0.000161375297970952
29059,NA,20.6,NA,37.3,NA,57.9,0.000167240344676116
29155,NA,35.7,NA,123.2,NA,158.9,0.000504017709543016
29203,NA,35,NA,NA,NA,35,5.44794820975324e-05
29209,NA,3.3,52.1,NA,NA,55.4,0.000186632824789923
29065,NA,NA,23.2,5.4,6,34.6,7.18190862980706e-05
29229,NA,NA,12.4,6.6,NA,19,4.35445062986175e-05
