"GEOID","pasture_2001","pasture_2011","pasture_2021"
"29043",0.442307710647583,0.43033891916275,0.421487033367157
"29059",0.468019425868988,0.467812120914459,0.468445122241974
"29197",0.616233587265015,0.591817319393158,0.558015763759613
"29175",0.424646884202957,0.402891963720322,0.364308834075928
"29103",0.372850686311722,0.33087545633316,0.305196046829224
"29117",0.317762762308121,0.296895831823349,0.273381471633911
"29135",0.549653947353363,0.538071870803833,0.506598889827728
"29027",0.317808002233505,0.307962417602539,0.292635768651962
"29177",0.39726448059082,0.387498676776886,0.362814366817474
"29131",0.338285505771637,0.34001949429512,0.339543521404266
"29105",0.423526972532272,0.426521927118301,0.434190064668655
"29153",0.325650751590729,0.332327276468277,0.338799625635147
"29023",0.0738880038261414,0.0744488537311554,0.0738922581076622
"29199",0.398211419582367,0.373063683509827,0.335617214441299
"29055",0.221747741103172,0.226086154580116,0.227071911096573
"29045",0.266484081745148,0.247934103012085,0.233235254883766
"29227",0.583312571048737,0.565613508224487,0.538276791572571
"29053",0.355667322874069,0.338885754346848,0.315874487161636
"29013",0.492540270090103,0.456858813762665,0.410826027393341
"29159",0.409357219934464,0.39369609951973,0.371816039085388
"29121",0.457125931978226,0.437828451395035,0.400226980447769
"29061",0.436221063137054,0.42499977350235,0.38810521364212
"29167",0.606212437152863,0.602936565876007,0.597481071949005
"29091",0.437444657087326,0.441456168889999,0.446573257446289
"29185",0.381768018007278,0.369643837213516,0.357017934322357
"29129",0.568109035491943,0.536603808403015,0.486937701702118
"29125",0.418777704238892,0.417776018381119,0.415702909231186
"29109",0.708606243133545,0.700127899646759,0.682503700256348
"29051",0.396648079156876,0.391001015901566,0.384738922119141
"29039",0.503028929233551,0.499575823545456,0.490731239318848
"29101",0.533848881721497,0.512778460979462,0.482029974460602
"29205",0.246679037809372,0.230840772390366,0.218841642141342
"29203",0.120955601334572,0.125025719404221,0.127275705337524
"29097",0.50198882818222,0.478586077690125,0.446806043386459
"29145",0.550486087799072,0.544589400291443,0.538044095039368
"29073",0.295971125364304,0.294317752122879,0.287416785955429
"29181",0.194034248590469,0.198270678520203,0.199521124362946
"29173",0.250419139862061,0.235944256186485,0.217965111136436
"29003",0.314319908618927,0.286594599485397,0.254222512245178
"29139",0.212619349360466,0.205120295286179,0.196475863456726
"29163",0.259932041168213,0.25004655122757,0.236815124750137
"29201",0.0579882003366947,0.0564500987529755,0.0580249167978764
"29209",0.279397904872894,0.277702242136002,0.277075111865997
"29229",0.478932917118073,0.486177265644073,0.493294537067413
"29007",0.203278616070747,0.190428778529167,0.177502825856209
"29087",0.0784112811088562,0.0678817555308342,0.0635501146316528
"29195",0.186388030648232,0.167443692684174,0.151199907064438
"29071",0.288559377193451,0.280723720788956,0.270837545394897
"29063",0.54515141248703,0.505420088768005,0.436726719141006
"29093",0.097266674041748,0.0977924391627312,0.0968632847070694
"29213",0.187416940927505,0.185126692056656,0.186377987265587
"29115",0.546645760536194,0.515424311161041,0.472014218568802
"29089",0.358679920434952,0.343288034200668,0.315556317567825
"29019",0.340892136096954,0.327532202005386,0.306263953447342
"29085",0.382439523935318,0.386903017759323,0.385662198066711
"29009",0.465908914804459,0.465535134077072,0.462085127830505
"29151",0.361351132392883,0.361981451511383,0.359518826007843
"29041",0.305066674947739,0.29282146692276,0.272575348615646
"29155",8.39251370052807e-05,7.85106094554067e-05,0.000155667599756271
"29510",0.00162120698951185,0.0013133380562067,0.000961483980063349
"29099",0.133098855614662,0.12942211329937,0.125823393464088
"29113",0.264142572879791,0.24638369679451,0.231982827186584
"29161",0.265644937753677,0.267519861459732,0.26608482003212
"29141",0.319469064474106,0.316159427165985,0.306613057851791
"29077",0.556700885295868,0.540039956569672,0.526935636997223
"29183",0.105436816811562,0.0899641513824463,0.080577626824379
"29015",0.30033266544342,0.295635670423508,0.289986431598663
"29065",0.268968433141708,0.272174447774887,0.274795919656754
"29075",0.5240238904953,0.491859436035156,0.448063433170319
"29081",0.539016008377075,0.516247272491455,0.468796193599701
"29037",0.513659536838531,0.493394434452057,0.466664344072342
"29067",0.34540131688118,0.35374042391777,0.358217269182205
"29211",0.63388729095459,0.615143775939941,0.571245491504669
"29147",0.400981724262238,0.358298003673553,0.316989898681641
"29017",0.258212327957153,0.253148943185806,0.245631575584412
"29123",0.159931421279907,0.159752085804939,0.156698673963547
"29219",0.178415775299072,0.174057140946388,0.166607320308685
"29083",0.472626388072968,0.457666486501694,0.435661345720291
"29223",0.0994461178779602,0.102154150605202,0.103648766875267
"29035",0.0829863026738167,0.0845708325505257,0.0855637043714523
"29031",0.339254915714264,0.307713687419891,0.282868504524231
"29133",0.00126424455083907,0.000603757798671722,0.000711542728822678
"29179",0.071067214012146,0.071770191192627,0.0720953568816185
"29047",0.430417716503143,0.400600612163544,0.364821791648865
"29079",0.432957977056503,0.411813199520111,0.375083655118942
"29225",0.524335920810699,0.526711761951447,0.531436383724213
"29119",0.356059938669205,0.358231246471405,0.359879463911057
"29005",0.108095280826092,0.0746442154049873,0.0616335086524487
"29207",0.10830744355917,0.103433422744274,0.0969861522316933
"29149",0.309172213077545,0.314277052879333,0.318661272525787
"29221",0.1264428794384,0.127296656370163,0.126276388764381
"29157",0.288165479898453,0.268342047929764,0.249869078397751
"29107",0.276816993951797,0.25059849023819,0.231013312935829
"29186",0.233155325055122,0.224340677261353,0.214904755353928
"29127",0.237625956535339,0.211720362305641,0.201779186725616
"29187",0.267050296068192,0.261582463979721,0.253111839294434
"29049",0.497586995363235,0.445309102535248,0.378012150526047
"29171",0.583577930927277,0.550951838493347,0.509594798088074
"29165",0.274927228689194,0.258876085281372,0.243419647216797
"29021",0.238834783434868,0.221382603049278,0.203572243452072
"29057",0.573406875133514,0.564571440219879,0.552883744239807
"29169",0.220314547419548,0.220355972647667,0.222418293356895
"29011",0.446300536394119,0.42621636390686,0.392144381999969
"29217",0.480223149061203,0.453784555196762,0.414214730262756
"29025",0.551930546760559,0.529262900352478,0.480591356754303
